Price,Destination,Date,Duration,Origin,IMG URL
CA$93,PMI,"Jan 29–Feb 4, 2026",1 hr 50 min,ORY,"background-image: url(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQMJwBT273emCwJtfJdU8Vusd6eD_UcGjcb2Rebkz0RUTyHHwUDTnzPWq2KtNCm-14N5taI_OZSmnNOmz6lnaXkiIK1P3IFsTKUeG5UrE""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
CA$94,OPO,"Jan 12–20, 2026",2 hr 15 min,ORY,"background-image: url(""https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTtE2JP9BsPAqqvRemBTQf7akt_qyBriSbJxoc1fIiCLc521DyBnZYyP-TNKh2HUYjgEQNnDCIFnw-f6hNzMejJVkVLdllkD6USFBhp4AM""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
CA$98,FCO,"Jan 26–Feb 2, 2026",2 hr 5 min,ORY,"background-image: url(""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT_zjoStCMuCBP2B6UetQCgZ3YA_l_loIbnjkgdTJKxOUEF9oiM-M_6j16sIHULKGY56ntMAcKtdNcFTECtkmwInm9JOPVrkyb3ZDSN7R8""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
CA$87,NAP,"Mar 30–Apr 8, 2026",2 hr 5 min,ORY,"background-image: url(""https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT6ex48rZLzFWmNu4lPIvXMkWAC6pRx4FwanhQ1_S_WIuko9MP0O5w84eaAb6WUkwJNB_HIfVDLUQSf4ixg_cRHizDrXUFWAmi20WDsQzw""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
CA$87,LIS,"Mar 5–11, 2026",1 hr 55 min,ORY,"background-image: url(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyawcRLrmBvKF5v_iI1GRfKol4CVG-HHrDPDEegUsNEEkU4Lyqh7eND09wpxyiomJPz8I0tzsKwUjsHzcbDdP0FkZaMGI6v4BQP_szctI""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
CA$98,BUD,"Jan 4–10, 2026",1 hr 20 min,ORY,"background-image: url(""https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSOyIQzSfyBYBeoPUZdVpawOVXAIgfSnQADluegAT6QU0nZHXzQ_iEjOI3iXJZ0I-I80zc_LGwbtYmhB56qaZAtgJu-w4owxL-MA2Il3Cs""), url(""//www.gstatic.com/flights/app/destination_bg_240.svg"");"
